id,tokens,ner_tags
0,"['Musababnya', ',', 'dua', 'tafsir', 'mengenai', 'mekanisme', 'pilkada', ',', 'baik', 'langsung', 'atau', 'pun', 'melalui', 'DPRD', 'sama', '-', 'sama', 'tidak', 'melanggar', 'konstitusi', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"['""', 'Kemungkinan', 'tersangka', 'baru', 'sangat', 'terbuka', 'sepanjang', 'penyidik', 'temukan', 'dua', 'alat', 'bukti', 'yang', 'cukup', 'ada', 'pihak', 'lain', 'yang', 'terlibat', ',', '""', 'kata', 'Johan', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O']"
2,"['PT', 'Pertamina', '(', 'Persero', ')', 'mengakui', 'telah', 'terjadi', 'kepanikan', 'masyarakat', 'sehingga', 'menyebabkan', 'antrean', 'kendaraan', 'di', 'berbagai', 'SPBU', 'di', 'kawasan', 'Pantura', 'seperti', 'Cirebon', ',', 'Kuningan', ',', 'berbagai', 'wilayah', 'lainnya', '.']","['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'B-LOCATION', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O']"
3,"['Bouygues', 'S.A', '.', ',', 'sebuah', 'perusahaan', 'konstruksi', 'terdisifikasi', 'berbasis', 'Paris', ',', 'mengatakan', 'laba', 'gabungan', 'untuk', 'paruh', 'pertama', '1989', ',', 'setelah', 'pembayaran', 'terhadap', 'bunga', 'minoritas', ',', 'naik', 'hingga', '188', 'juta', 'francs', 'Perancis', '(', '$', '30.2', 'juta', ')', '-', 'dari', '65', 'juta', 'francs', 'tahun', 'sebelumnya', '.']","['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'I-QUANTITY', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'I-QUANTITY', 'O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'I-QUANTITY', 'O', 'O', 'O']"
4,"['""', 'Angel', 'sudah', 'berhijab', '.', 'Allah', 'telah', 'mengampuninya', 'karena', 'Dia', 'Maha', 'Pengampun', ',', '""', 'kata', 'Hajrul', '.']","['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O']"
5,"['""', 'Untuk', 'menciptakan', 'kabinet', 'kerja', 'harus', 'dicari', 'oraang', '-', 'orang', 'yang', 'pekerja', 'juga', ',', '""', 'tandasnya', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,"['Mereka', 'meneriakkan', 'nama', 'Jokowi', 'sambil', 'mengibarkan', 'bendera', 'PDI', '-', 'P.']","['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']"
7,"['""', 'Ada', 'banyak', 'calon', ',', 'di', 'DPR', 'atau', 'di', 'luar', 'DPR', ',', '""', 'kata', 'dia', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZATION', 'O', 'O', 'O', 'B-ORGANIZATION', 'O', 'O', 'O', 'O', 'O']"
8,"['""', 'Banyak', 'orang', 'yang', 'pesan', 'kartu', 'kredit', ',', 'tapi', 'tidak', 'baca', 'syarat', 'dan', 'ketentuannya', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,"['Pengumuman', 'pemenang', 'LKS', 'yang', 'dilaksanakan', 'di', 'Sriwijaya', 'Promotion', 'Center', 'Palembang', ',', 'Sumatera', 'Selatan', ',', 'Minggu', 'dini', 'hari', ',', 'dan', 'diwarnai', 'protes', 'kontingen', 'Propinsi', 'DKI', 'Jakarta', 'saat', 'panitia', 'mengumumkan', 'propinsi', 'pemenang', 'sebagai', 'juara', 'umum', 'adalah', 'Propinsi', 'Jawa', 'Tengah', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'B-TIME', 'I-TIME', 'I-TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O']"
